"","State","County","fips","frac_coll_plus2010","foreign_share2010","med_hhinc2016","poor_share2010","share_white2010","share_black2010","share_hisp2010","share_asian2010","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","traveltime15_2010","emp2000","ln_wage_growth_hs_grad","popdensity2010","ann_avg_job_growth_2004_2013","job_density_2013","turnout.rate"
"1519","Missouri","Franklin County",29071,0.1642383,0.0091357892,51667.855023056,0.11069807,0.95958304,0.012158594,0.013764632,0.0035802773,3.0180774,667.87,0.26465952,0.31005943,0.64891952,-0.044760253,109.99673,-0.0028725788,51.940971,0.678715011757567
"1520","Missouri","Gasconade County",29073,0.14049076,0.013641251,45615.3795164893,0.10669739,0.97234267,0.0040730522,0.0099855475,0.0032847195,3.0081153,546.9903,0.27661595,0.4115532,0.58674616,0.11238741,29.397337,-0.0037205706,13.642281,0.681782979089579
"1521","Missouri","Gentry County",29075,0.12073289,0.005149832,44152.0875630751,0.15043274,0.98011279,0.0051944195,0.0053428314,0.0025230038,2.7501931,536.46539,0.28661165,0.5011875,0.56074119,0.013435788,13.71123,0.0070895385,6.9370112,0.66659802306425
"1522","Missouri","Greene County",29077,0.27251139,0.027348533,45953.8165815084,0.16946276,0.8953535,0.037783366,0.029824765,0.014208345,2.8176088,685.77521,0.35679212,0.33412507,0.63835746,-0.025319908,407.48288,0.0063457186,202.2384,0.625435555437937
"1523","Missouri","Grundy County",29079,0.1301991,0.013412901,40428.4156514959,0.1321431,0.96033525,0.0070168599,0.017347237,0.0042954599,3.0758514,529.89594,0.27611801,0.48207748,0.56941777,0.13485436,23.573494,-0.0019705645,10.646094,0.608224811514736
"1524","Missouri","Harrison County",29081,0.07662157,0.011172954,40659.9071117562,0.1503419,0.96672994,0.0049123592,0.015741877,0.0020096013,2.6475348,582.14056,0.29418451,0.44324404,0.59941185,0.13374971,12.397181,-0.016095124,5.0878682,0.607783955520254
"1525","Missouri","Henry County",29083,0.15064318,0.014808159,43625.1165140086,0.16314058,0.95321482,0.013335129,0.016567888,0.0020204741,3.0050614,710.19409,0.32407343,0.44910863,0.57403523,-0.020751741,31.956472,-0.011789379,13.145887,0.641608183656477
"1526","Missouri","Hickory County",29085,0.080587916,0.0038722565,33332.4876908694,0.15581951,0.9637478,0.0039472319,0.0094525814,0.0015581178,3.6460118,555.8092,0.27826774,0.32515469,0.39618585,NA,24.122318,0.0062445039,8.3239164,0.644915576996318
"1527","Missouri","Holt County",29087,0.16309176,0.010230734,41794.4881921824,0.14387713,0.97210908,0.0022394138,0.0079397392,0.0040229885,3.1546113,530.90228,0.25537035,0.39242259,0.58671385,-0.09473563,10.616111,0.0046895551,5.6084704,0.673856773080242
"1528","Missouri","Howard County",29089,0.22357427,0.011294506,46430.0372634069,0.15531737,0.91088325,0.061612774,0.012026814,0.0021687697,2.3980188,700.87939,0.32684252,0.34511024,0.61155897,0.092222765,21.869186,-0.010861046,9.9364233,0.649075844486934
